P32234	GO:0005525
P01891	GO:0030881
P01891	GO:0042605
P01891	GO:0044822
P10316	GO:0044822
P01889	GO:0005102
P30460	GO:0051087
P30460	GO:0046977
P30461	GO:0042605
P30462	GO:0046977
P03989	GO:0042605
P18464	GO:0042605
P30499	GO:0042605
P30499	GO:0046977
P30501	GO:0046977
P04222	GO:0046977
P30504	GO:0046977
Q84PN8	GO:0016787
O23507	GO:0004222
Q15172	GO:0019900
Q15172	GO:0008601
Q15173	GO:0008601
Q14738	GO:0008601
Q14738	GO:0004722
P38903	GO:0008601
Q16537	GO:0008601
Q8RW96	GO:0008266
Q13362	GO:0008601
Q09543	GO:0017151
P30153	GO:0003823
P30153	GO:0046982
P30153	GO:0008601
Q76MZ3	GO:0004722
P36872	GO:0008601
P63151	GO:0008601
P63151	GO:0004722
P36876	GO:0032403
P36876	GO:0051721
P36876	GO:0048156
Q00362	GO:0008601
Q00005	GO:0008601
P36877	GO:0032403
P56932	GO:0008195
Q7ZX64	GO:0008601
P04229	GO:0023026
P01912	GO:0042605
P13760	GO:0032395
P13760	GO:0042605
P13761	GO:0032395
P13761	GO:0042605
P20039	GO:0032395
P01911	GO:0023026
P01911	GO:0042605
O04529	GO:0004222
P84782	GO:0004867
P15459	GO:0043424
Q39649	GO:0045735
Q7NXD4	GO:0097657
Q7NXD4	GO:0030145
P22071	GO:0003854
P22071	GO:0035410
P22071	GO:0051287
P22071	GO:0005496
P22071	GO:0004769
P26439	GO:0003854
P26439	GO:0004769
Q62878	GO:0003854
Q62878	GO:0016853
Q62878	GO:0004769
Q62878	GO:0030283
P27364	GO:0003854
P27364	GO:0051287
P27364	GO:0005496
P27364	GO:0016229
O35048	GO:0047016
P9WQP7	GO:0003854
P9WQP7	GO:0070403
P9WQP7	GO:0004769
P55194	GO:0017124
P78314	GO:0005070
Q06649	GO:0017124
O60239	GO:0004860
Q9Z131	GO:0017124
Q91Y80	GO:0017124
Q84SM8	GO:0016829
Q84SM8	GO:0010333
F1CKI6	GO:0016829
F1CKI6	GO:0010333
F1CKI8	GO:0016829
F1CKI8	GO:0010333
F1CKI9	GO:0016829
F1CKI9	GO:0010333
Q59087	GO:0003855
P05147	GO:0003855
P46952	GO:0000334
P46952	GO:0008198
Q78JT3	GO:0000334
P46953	GO:0000334
P46953	GO:0005506
P46953	GO:0019825
P47096	GO:0000334
Q46ZL2	GO:0034022
Q8NLB6	GO:0018669
Q8NLB6	GO:0050660
A9CH01	GO:0050346
P31937	GO:0008442
Q8GSN8	GO:0033809
Q9I0N5	GO:0005506
Q9I0N5	GO:0016702
P04395	GO:0003905
P29372	GO:0003684
P29372	GO:0019104
Q04841	GO:0003905
Q5XF51	GO:0004222
A0S864	GO:0030550
A0S865	GO:0030550
P86096	GO:0030550
P86098	GO:0030550
P86099	GO:0030550
P71864	GO:0047571
Q7D5C1	GO:0033765
A0R4S9	GO:0033765
Q04616	GO:0047571
A3DIJ8	GO:0016887
A3DIJ8	GO:0050355
P30871	GO:0046872
P30871	GO:0050355
Q82UI9	GO:0050355
P86095	GO:0030550
P86097	GO:0030550
Q8QGR0	GO:0048019
B3EWF8	GO:0030550
P86094	GO:0030550
D5MP61	GO:0030247
D5MP61	GO:0033905
Q9LCB9	GO:0033914
Q8RS40	GO:0030247
Q8RS40	GO:0033914
P11171	GO:0005545
P11171	GO:0030507
P11171	GO:0005200
Q33DV3	GO:0016758
Q42524	GO:0016207
Q9S725	GO:0016207
Q9S777	GO:0016207
Q9LU36	GO:0016207
Q9LQ12	GO:0004467
Q9LQ12	GO:0031956
Q84P24	GO:0016405
Q9M0X9	GO:0004321
Q84P23	GO:0004321
Q9SMT7	GO:0050203
Q13541	GO:0008190
Q13541	GO:0030371
Q60876	GO:0008190
Q62622	GO:0008190
Q62622	GO:0051721
Q62622	GO:0031369
P70445	GO:0008190
P70445	GO:0030371
Q9NRA8	GO:0044822
Q9NRA8	GO:0008565
Q9EST3	GO:0003729
P08195	GO:0098641
P08195	GO:0005432
P08195	GO:0003725
P08195	GO:0044822
Q794F9	GO:0015175
Q04416	GO:0018739
P56653	GO:0018739
A9AQW9	GO:0047580
A6WXX7	GO:0047580
Q2T3J4	GO:0047580
Q7NU77	GO:0047580
B9R4E3	GO:0047580
A0NXQ7	GO:0047580
A1BBM5	GO:0047580
A5VZY6	GO:0047580
A3QFI1	GO:0047580
D2AV87	GO:0047580
Q8P833	GO:0047580
Q8GWW6	GO:0004222
P70994	GO:0016853
P76491	GO:0050897
P76491	GO:0042802
P76491	GO:0008252
Q8L539	GO:0030272
P0AC28	GO:0030272
Q9ZR27	GO:0016758
B2NID7	GO:0016758
P08908	GO:0004993
Q64264	GO:0004993
P19327	GO:0008144
P19327	GO:0001965
P19327	GO:0004993
P19327	GO:0051378
P28222	GO:0004993
P28334	GO:0008144
P28334	GO:0004993
P28334	GO:0051378
P28564	GO:0008144
P28564	GO:0004993
P28564	GO:0051378
P28221	GO:0004993
Q61224	GO:0004993
Q61224	GO:0051378
P28566	GO:0004930
P28566	GO:0004993
P28566	GO:0051378
P30939	GO:0004993
P30939	GO:0051378
P20905	GO:0004993
O46635	GO:0008144
O46635	GO:0004993
O46635	GO:0051378
P28285	GO:0004993
P28223	GO:0071886
P28223	GO:0008144
P28223	GO:0004993
P28223	GO:0051378
P14842	GO:0001965
P14842	GO:0004993
P14842	GO:0032403
P14842	GO:0051378
P28286	GO:0004993
P41595	GO:0008144
P41595	GO:0001965
P41595	GO:0004993
P41595	GO:0051378
Q02152	GO:0008144
Q02152	GO:0004993
Q02152	GO:0005096
Q02152	GO:0051378
P28335	GO:0071886
P28335	GO:0008144
P28335	GO:0004993
P28335	GO:0001587
P28335	GO:0051378
P34968	GO:0004993
P08909	GO:0004993
O70212	GO:0004890
P46098	GO:0051378
P46098	GO:0005232
P46098	GO:0022850
P35563	GO:0005232
O95264	GO:0005232
Q9JHJ5	GO:0005232
Q8WXA8	GO:0004993
Q70Z44	GO:0004993
A5X5Y0	GO:0004993
Q13639	GO:0004993
Q62758	GO:0004993
P47898	GO:0004993
P35364	GO:0004993
P31387	GO:0004993
P35365	GO:0008144
P35365	GO:0004993
P35365	GO:0051378
P50406	GO:0004969
P31388	GO:0004993
P34969	GO:0004993
P32305	GO:0004993
P32305	GO:0030594
Q8W1W9	GO:0033810
Q6TXD2	GO:0016747
Q9LJB4	GO:0050736
Q9ZUJ5	GO:0004222
Q91YE9	GO:0008253
Q9H0P0	GO:0008253
Q9W197	GO:0008253
Q9W197	GO:0008252
Q969T7	GO:0008253
O46411	GO:0042802
P49902	GO:0008253
P49902	GO:0050146
P21589	GO:0008253
Q61503	GO:0008253
P21588	GO:0008253
P21588	GO:0008198
Q76FP5	GO:0004553
Q9FWA3	GO:0004616
P86491	GO:0004497
Q88FY2	GO:0004497
Q6WUC1	GO:0042802
Q6WUC1	GO:0008171
P40433	GO:0003873
Q9SH69	GO:0008114
P38720	GO:0004616
Q9FFR3	GO:0008114
Q94KU2	GO:0004616
P53319	GO:0004616
P00350	GO:0042802
P00350	GO:0004616
P00350	GO:0042803
P85968	GO:0030246
P85968	GO:0031406
P85968	GO:0050661
P78812	GO:0050661
P78812	GO:0004616
P00349	GO:0004616
P31072	GO:0050661
P31072	GO:0004616
Q84WW2	GO:0017057
P52697	GO:0017057
O95336	GO:0017057
P85971	GO:0017057
P85971	GO:0048029
A0A096SRM5	GO:0047243
A0A096SRM5	GO:0035251
P05408	GO:0005525
P05408	GO:0051082
P12961	GO:0004857
Q4WYG3	GO:0004161
Q4WYG3	GO:0008233
Q4WYG3	GO:0004659
P13368	GO:0004713
P13368	GO:0004714
Q6WUC2	GO:0042802
Q6WUC2	GO:0008171
P13917	GO:0042802
P16375	GO:0046982
P16375	GO:0042803
P16375	GO:0001078
P16376	GO:0046982
P16376	GO:0042803
P16376	GO:0001078
B3RFJ6	GO:0016709
B3TKC8	GO:0035251
P36639	GO:0044714
P36639	GO:0044713
P36639	GO:0035539
P36639	GO:0008413
P36639	GO:0047693
P36639	GO:0036219
P36639	GO:0003924
P53368	GO:0008413
P53368	GO:0030515
Q676U5	GO:0042802
Q676U5	GO:0019787
Q8C0J2	GO:0042802
P02764	GO:0008144
P22599	GO:0004867
P20848	GO:0004867
P01009	GO:0001948
P01009	GO:0042802
P01009	GO:0002020
P17475	GO:0004866
P17475	GO:0004867
Q9NQ94	GO:0003723
Q9NQ94	GO:0003727
Q5YD48	GO:0003723
Q923K9	GO:0003729
P14046	GO:0030414
Q63041	GO:0048403
Q63041	GO:0048406
Q63041	GO:0032403
Q1W695	GO:0004620
P08697	GO:0004866
P08697	GO:0002020
P08697	GO:0042803
P83168	GO:0004867
P01023	GO:0048306
P01023	GO:0019899
P01023	GO:0019838
P01023	GO:0005096
P01023	GO:0019966
P01023	GO:0019959
P01023	GO:0002020
P01023	GO:0005102
P01023	GO:0004867
P01023	GO:0043120
Q6GQT1	GO:0030414
P06238	GO:0048403
P06238	GO:0004866
P06238	GO:0048406
P06238	GO:0042803
A8K2U0	GO:0030414
Q3V1N9	GO:0001962
A0A4Z3	GO:0016757
Q9NPC4	GO:0008378
Q67BJ4	GO:0050512
Q67BJ4	GO:0015643
Q9UNA3	GO:0008375
P05067	GO:0033130
P05067	GO:0019899
P05067	GO:0042802
P05067	GO:0051425
P05067	GO:0005102
P05067	GO:0004867
P12023	GO:0003677
P08592	GO:0070851
P08592	GO:0016504
P91927	GO:0005432
P91927	GO:0015386
O46202	GO:0030414
O46202	GO:0004867
P05623	GO:0001664
P9WQP3	GO:0016747
P9WQP1	GO:0016747
P9WQN9	GO:0016747
P25099	GO:0031683
P25099	GO:0001609
P25099	GO:0001664
P25099	GO:0031072
P25099	GO:0032795
P25099	GO:0004629
P25099	GO:0046982
P25099	GO:0001883
P29274	GO:0019899
P29274	GO:0001609
P29274	GO:0042802
Q60613	GO:0001609
P30543	GO:0051393
P30543	GO:0001609
P30543	GO:0046982
P30543	GO:0031802
Q60614	GO:0004930
P29276	GO:0001609
Q8JG70	GO:0004938
Q8JG69	GO:0004938
Q61618	GO:0001609
P28647	GO:0001609
E3W9M2	GO:0016758
E3W9M3	GO:0016758
Q9NS82	GO:0015194
Q9NS82	GO:0015175
P63115	GO:0015175
P21133	GO:0050640
P22760	GO:0003824
P22760	GO:0019213
P22760	GO:0016298
P22760	GO:0017171
Q99PG0	GO:0016298
Q99PG0	GO:0017171
Q99PG0	GO:0004806
Q7M370	GO:0019213
Q5SF95	GO:0051015
Q5SF94	GO:0051015
Q5SF96	GO:0051015
Q5SF93	GO:0051015
Q15758	GO:0015171
Q15758	GO:0015186
Q15758	GO:0015175
Q15758	GO:0004872
P51912	GO:0015175
P9WQG9	GO:0047921
P9WQG9	GO:0034069
Q54441	GO:0047663
Q43899	GO:0047663
Q44245	GO:0047663
Q44057	GO:0047663
Q9R381	GO:0047663
Q9R381	GO:0042803
P20092	GO:0047663
Q9RBW7	GO:0047663
Q86V21	GO:0030729
Q9JMI1	GO:0030729
Q9JMI1	GO:0047760
P01011	GO:0003677
P01011	GO:0004867
Q8N5Z0	GO:0047536
Q8N5Z0	GO:0016212
Q8N5Z0	GO:0042803
Q64602	GO:0030170
Q64602	GO:0008483
Q9C8D4	GO:0047760
Q8H151	GO:0090409
Q8W471	GO:0008922
Q9SS01	GO:0018858
Q11T61	GO:0000287
Q11T61	GO:0016854
O49434	GO:0047652
Q655X8	GO:0047652
Q2M2I8	GO:0035612
Q2M2I8	GO:0005112
P0C1X8	GO:0035612
P0C1X8	GO:0004674
Q9Y478	GO:0004672
Q9R078	GO:0004679
P80386	GO:0019901
O43741	GO:0042802
Q6PAM0	GO:0004679
Q9QZH4	GO:0019899
Q9QZH4	GO:0019901
P54619	GO:0004691
P54619	GO:0008603
P54619	GO:0004672
P54619	GO:0019901
O54950	GO:0004679
P80385	GO:0043531
P80385	GO:0016208
P80385	GO:0005524
P80385	GO:0019901
Q9UGJ0	GO:0043531
Q9UGJ0	GO:0005524
Q9UGJ0	GO:0004862
Q9UGJ0	GO:0008603
Q9UGJ0	GO:0008607
Q9UGJ0	GO:0030295
Q9UGJ0	GO:0019901
Q91WG5	GO:0004679
Q9UGI9	GO:0004679
Q9UGI9	GO:0019901
Q10343	GO:0016208
Q10343	GO:0005524
P12904	GO:0043539
Q988D4	GO:0047411
Q988D4	GO:0042803
Q13685	GO:0008201
A0P8X0	GO:0004556
K9NBS6	GO:0004040
K9NBS6	GO:0004046
K9NBS6	GO:0047680
Q42400	GO:0015171
Q42400	GO:0015180
Q42400	GO:0005313
Q42400	GO:0015186
Q42400	GO:0015193
Q42400	GO:0015194
Q9FN04	GO:0015172
Q9FN04	GO:0015175
Q9FN04	GO:0015399
Q8GUM3	GO:0015171
Q8GUM3	GO:0015174
P92934	GO:0015172
P92934	GO:0015175
Q13131	GO:0004679
Q13131	GO:0004672
Q5EG47	GO:0004679
Q5EG47	GO:0003682
Q5EG47	GO:0035174
P54645	GO:0004679
P54645	GO:0005524
P54645	GO:0019900
P54645	GO:0008022
P54645	GO:0004674
Q95ZQ4	GO:0004679
P54646	GO:0004679
P54646	GO:0004672
P54646	GO:0004712
Q8BRK8	GO:0004679
Q8BRK8	GO:0003682
Q8BRK8	GO:0035174
Q8BRK8	GO:0004674
Q09137	GO:0004679
Q09137	GO:0005524
Q09137	GO:0030674
Q09137	GO:0004672
Q09137	GO:0004674
P08521	GO:0045182
Q54I71	GO:0045294
P46116	GO:0008236
Q84LM4	GO:0070009
Q3THG9	GO:0002161
Q3THG9	GO:0002196
Q9UDR5	GO:0047130
Q99K67	GO:0047131
P31119	GO:0008779
P31119	GO:0008922
P46643	GO:0005507
P46645	GO:0005507
P17174	GO:0004069
P05201	GO:0004609
P13221	GO:0031406
P13221	GO:0047801
Q9NY61	GO:0043522
Q9NY61	GO:0044822
Q9QYW0	GO:0043522
Q9QYW0	GO:0019904
Q9QYW0	GO:0048156
Q9QYW0	GO:0003700
P00508	GO:0004069
P00508	GO:0042803
P00505	GO:0004069
P00505	GO:0044822
P00507	GO:0016597
P00507	GO:0031406
P00507	GO:0019899
P00507	GO:0005543
P00507	GO:0042803
P00507	GO:0030170
P00509	GO:0042802
P00509	GO:0004069
P00509	GO:0004838
P00509	GO:0030170
Q8RXN0	GO:0015245
Q8RXN0	GO:0042803
Q08641	GO:0051015
Q08641	GO:0030674
Q08641	GO:0052735
Q9LJX0	GO:0010329
Q9ZR72	GO:0010329
Q9ZR72	GO:0010328
Q9C8G9	GO:1902417
Q9C8G9	GO:0015446
Q9C8G9	GO:0071992
Q84TH5	GO:0042626
Q42093	GO:1902417
Q42093	GO:0042626
Q9XIE2	GO:0015086
Q9LFH0	GO:0005215
Q9LK64	GO:0042626
Q9LK64	GO:0010290
Q9LK64	GO:0015431
O80725	GO:0010329
O80725	GO:0010328
O80725	GO:0008559
Q7GB25	GO:0008281
Q9CAF5	GO:0042626
Q9ZS97	GO:0042626
Q9FLT5	GO:0015245
Q9C826	GO:0004022
Q9C826	GO:0010301
P20945	GO:0003700
P20945	GO:0044212
O81077	GO:0010295
Q9FH76	GO:0010295
Q9LJK2	GO:0010295
Q9LRH7	GO:0042561
Q9LRH7	GO:0042300
Q92337	GO:0005524
Q10185	GO:0044604
P31941	GO:0004126
P31941	GO:0047844
Q9UH17	GO:0047844
Q9UH17	GO:0044822
Q9NRW3	GO:0044822
Q8IUX4	GO:0004126
Q8IUX4	GO:0044822
Q8IUX4	GO:0003723
Q8IUX4	GO:0008270
Q9HC16	GO:0004126
Q9HC16	GO:0008829
Q9HC16	GO:0047844
Q9HC16	GO:0003723
Q9HC16	GO:0008270
Q6NTF7	GO:0004126
Q19Q52	GO:0004126
Q9P7V2	GO:0005524
O95477	GO:0034186
O95477	GO:0034188
O95477	GO:0034185
O95477	GO:0005524
O95477	GO:0051117
O95477	GO:0015485
O95477	GO:0017127
O95477	GO:0005543
O95477	GO:0005548
O95477	GO:0005102
O95477	GO:0031267
O95477	GO:0019905
P41233	GO:0008509
P41233	GO:0017127
P41233	GO:0005548
Q9BZC7	GO:0005524
Q9BZC7	GO:0016887
Q9ESR9	GO:0005524
Q99758	GO:0005524
Q99758	GO:0042626
Q99758	GO:0005319
Q99758	GO:0005215
P78363	GO:0005524
P78363	GO:0042626
P78363	GO:0005395
P78363	GO:0005215
O35600	GO:0042626
O35600	GO:0005548
O35600	GO:0004012
Q8IZY2	GO:0034188
Q8IZY2	GO:0005524
Q8IZY2	GO:0005215
Q91V24	GO:0034188
Q91V24	GO:0005548
O94911	GO:0042626
O94911	GO:0008559
Q86UK0	GO:0034191
Q86UK0	GO:0005319
Q86UK0	GO:0034040
Q86UK0	GO:0005102
Q2M3G0	GO:0015562
Q2M3G0	GO:0008559
Q9NP58	GO:0005524
Q9NP58	GO:0015562
Q9NP58	GO:0020037
Q9NP58	GO:0015232
Q9NP58	GO:0015439
O75027	GO:0005524
O75027	GO:0042626
O75027	GO:0015232
Q9NUT2	GO:0005524
Q9NUT2	GO:0005215
Q9NP78	GO:0005524
Q9NP78	GO:0015421
Q9NP78	GO:0015440
Q9NP78	GO:0042803
Q9NP78	GO:0022891
Q9QYJ4	GO:0042626
Q9JI39	GO:0042803
O95342	GO:0005524
O95342	GO:0015432
O95342	GO:0008554
O95342	GO:0005215
O70127	GO:0015126
O70127	GO:0015238
Q09428	GO:0043225
Q09428	GO:0015272
Q09428	GO:0044325
Q09428	GO:0005267
Q09429	GO:0005524
Q09429	GO:0008281
Q09429	GO:0019905
O60706	GO:0043225
O60706	GO:0044325
O60706	GO:0005215
Q63563	GO:0008144
Q63563	GO:0042802
Q63563	GO:0005267
Q63563	GO:0015459
Q63563	GO:0008281
Q63563	GO:0019905
Q96J66	GO:0043225
Q96J66	GO:0008514
Q96J66	GO:0015216
P33897	GO:0005524
P33897	GO:0016887
P33897	GO:0019899
P33897	GO:0042802
P33897	GO:0005324
P33897	GO:0005325
P33897	GO:0042803
Q9UBJ2	GO:0005324
Q9UBJ2	GO:0042803
P28288	GO:0005524
P28288	GO:0016887
P28288	GO:0005324
P28288	GO:0042803
P16970	GO:0005524
P16970	GO:0042626
P16970	GO:0043621
P61221	GO:0060698
Q8NE71	GO:0005524
Q8NE71	GO:0044822
Q8NE71	GO:0043022
Q8NE71	GO:0008494
Q8NE71	GO:0008135
Q9UG63	GO:0005524
Q9UG63	GO:0005215
Q9NUQ8	GO:0098641
P45844	GO:0043531
P45844	GO:0005524
P45844	GO:0015485
P45844	GO:0017127
P45844	GO:0034437
P45844	GO:0005543
P45844	GO:0005548
P45844	GO:0046982
P45844	GO:0042803
P45844	GO:0034041
P45844	GO:0019534
Q9UNQ0	GO:0005524
Q9UNQ0	GO:0042626
Q9UNQ0	GO:0015232
Q9UNQ0	GO:0042803
Q9UNQ0	GO:0005215
Q9UNQ0	GO:0008559
Q7TMS5	GO:0008559
Q80W57	GO:0042626
Q80W57	GO:0015238
Q80W57	GO:0046983
Q9H172	GO:0046982
Q9H172	GO:0042803
Q9H222	GO:0046982
Q99PE7	GO:0017127
Q9H221	GO:0046982
P58428	GO:0017127
P58428	GO:0015248
Q8N2K0	GO:0047372
Q99LR1	GO:0047372
P29555	GO:0043565
P29555	GO:0003705
P29555	GO:0003700
P09087	GO:0000980
P09087	GO:0003700
P09087	GO:0000976
P77674	GO:0033737
P77674	GO:0019145
P77674	GO:0042802
P41238	GO:0004126
P41238	GO:0003723
P41238	GO:0008270
P51908	GO:0017091
P38483	GO:0004131
P38483	GO:0008047
P38483	GO:0003729
P38483	GO:0019904
P38483	GO:0043021
Q9Y235	GO:0004126
Q9Y235	GO:0003723
P14164	GO:0001046
P14164	GO:0003688
P14164	GO:0000978
P14164	GO:0043565
P14164	GO:0044374
P14164	GO:0001077
Q02486	GO:0003677
Q02486	GO:0008301
Q8NK90	GO:0046556
Q8NK89	GO:0046556
Q2UIM2	GO:0046556
O74288	GO:0046556
Q5BDV3	GO:0046556
P77357	GO:0071713
P77357	GO:0046982
P76052	GO:0071713
P76052	GO:0046982
P46133	GO:0015558
P46133	GO:0015291
Q24093	GO:0016298
P08910	GO:0047372
P08910	GO:0042562
P08910	GO:0003707
Q8WU67	GO:0008970
Q8WU67	GO:0004623
Q8TB40	GO:0016787
Q8WTS1	GO:0042171
Q9BV23	GO:0047372
Q8R2Y0	GO:0047372
Q8R2Y0	GO:0004620
Q9NUJ1	GO:0004553
Q96IU4	GO:0016787
Q8IZP0	GO:0098641
Q8IZP0	GO:0008092
Q8IZP0	GO:0032403
Q8CBW3	GO:0030296
Q9QZM5	GO:0008134
Q9NYB9	GO:0008093
Q9NYB9	GO:0003677
Q9NYB9	GO:0070064
Q9NYB9	GO:0032403
Q9NYB9	GO:0017124
Q9NYB9	GO:0031625
Q01593	GO:0003677
Q01593	GO:0001076
Q01593	GO:0003700
A0MES8	GO:0003677
A0MES8	GO:0044212
Q9ZJ19	GO:0004521
P00519	GO:0003785
P00519	GO:0005524
P00519	GO:0000287
P00519	GO:0030145
P00519	GO:0051019
P00519	GO:0004515
P00519	GO:0004715
P00519	GO:0070064
P00519	GO:0008022
P00519	GO:0004672
P00519	GO:0005080
P00519	GO:0004713
P00519	GO:0017124
P00519	GO:0019905
P00520	GO:0051015
P00520	GO:0005524
P00520	GO:0016301
P00520	GO:0000287
P00520	GO:0030145
P00520	GO:0019904
P00520	GO:0004672
P00520	GO:0004713
P42684	GO:0051015
P42684	GO:0003785
P42684	GO:0000287
P42684	GO:0030145
P42684	GO:0004715
P42684	GO:0004672
P42684	GO:0004713
Q4JIM5	GO:0000287
Q4JIM5	GO:0030145
Q4JIM5	GO:0004713
O14639	GO:0003779
Q8K4G5	GO:0003779
P00522	GO:0004715
A2QT85	GO:0046558
Q5AZC8	GO:0046558
Q5AUM3	GO:0046558
P13689	GO:0010011
P13689	GO:0008270
P49777	GO:0019237
P49777	GO:0043565
P15891	GO:0051015
Q9USY4	GO:0003688
B2FKA7	GO:0051015
B2FKA7	GO:0042803
E9RBR0	GO:0052716
P11140	GO:0005534
P11140	GO:0030598
Q8BUZ1	GO:0003779
Q12979	GO:0005096
Q12979	GO:0005085
Q12979	GO:0005089
Q5SSL4	GO:0005096
Q9ULW3	GO:0044822
Q9ULW3	GO:0003713
Q37145	GO:0005262
P39970	GO:0043565
P39970	GO:0001077
O81108	GO:0015085
O81108	GO:0005388
O81108	GO:0005516
P40535	GO:0043565
P40535	GO:0001077
O22218	GO:0005516
Q9LF79	GO:0005388
Q9LF79	GO:0043621
Q9LU41	GO:0005388
Q9LU41	GO:0005516
Q5SWU9	GO:0003989
P11497	GO:0003989
P11497	GO:0005524
P11497	GO:0009374
P11497	GO:0019900
O00763	GO:0003989
E9Q4Z2	GO:0003989
Q00955	GO:0003989
Q00955	GO:0004075
Q9UKU7	GO:0003995
P28330	GO:0003995
P51174	GO:0004466
P51174	GO:0016401
P15650	GO:0000062
P15650	GO:0050660
P15650	GO:0004466
P11310	GO:0003995
P11310	GO:0042802
P11310	GO:0070991
P45952	GO:0070991
P08503	GO:0000062
P08503	GO:0050660
P08503	GO:0042802
P08503	GO:0016853
P16219	GO:0003995
P15651	GO:0003995
P15651	GO:0004085
P15651	GO:0000062
P15651	GO:0050660
P49748	GO:0003995
P49748	GO:0004466
P45953	GO:0003995
P45953	GO:0000062
P45953	GO:0050660
P45953	GO:0004466
P45953	GO:0017099
Q6ZQK5	GO:0017137
A4YGN2	GO:0043958
Q975C8	GO:0043958
O00400	GO:0008521
Q96GR2	GO:0004467
Q96GR2	GO:0031957
Q5FVE4	GO:0047617
Q5FVE4	GO:0004467
Q5FVE4	GO:0031957
Q2XU92	GO:0004467
Q9SM23	GO:0000062
Q9SM23	GO:0032791
Q9SM23	GO:0008289
Q9SM23	GO:0070300
Q9STP8	GO:0000062
Q9STP8	GO:0032791
Q9STX1	GO:0000062
Q9MA55	GO:0000062
Q8RWD9	GO:0000062
P57752	GO:0000062
P57752	GO:0031210
Q5FXM5	GO:0000062
Q5FXM5	GO:0019901
Q5FXM5	GO:0004860
P07108	GO:0030156
P07108	GO:0036042
P07108	GO:0046983
P11030	GO:0030156
P11030	GO:0000062
P31787	GO:0005324
P0ABD5	GO:0042802
P24182	GO:0004075
P0A9Q5	GO:0003989
P0A9Q5	GO:0003677
P0A9Q5	GO:0003729
P0A9Q5	GO:0008270
Q41931	GO:0005507
O65378	GO:0009815
Q9S7D9	GO:0042803
Q9S7D9	GO:0004672
O80963	GO:0042803
O80963	GO:0004672
Q9LY50	GO:0042803
Q9FIJ6	GO:0042803
Q9FIJ6	GO:0004672
O64587	GO:0010175
Q709F0	GO:0003995
Q709F0	GO:0004466
Q709F0	GO:0070991
Q709F0	GO:0017099
Q08368	GO:0018492
Q9C4Z4	GO:0018492
P72021	GO:0018492
Q9V2Z4	GO:0018492
P9WQG3	GO:0003995
Q50538	GO:0018492
Q9C4Z1	GO:0018492
P72020	GO:0018492
Q9C4Z3	GO:0018492
Q50539	GO:0018492
Q9C4Z0	GO:0018492
P77580	GO:0008774
Q52060	GO:0008774
Q52060	GO:0051287
Q52060	GO:0050661
P45954	GO:0003995
P70584	GO:0003995
P70584	GO:0009055
P70584	GO:0016937
Q96AP0	GO:0070182
Q96AP0	GO:0044877
Q96AP0	GO:0042162
Q5EE38	GO:0042162
P38433	GO:0003990
P38433	GO:0042802
Q9BYF1	GO:0004180
Q9BYF1	GO:0004175
Q9BYF1	GO:0001948
Q9BYF1	GO:0004181
Q9BYF1	GO:0001618
Q9BYF1	GO:0008270
Q96WN6	GO:0003700
Q5EGZ1	GO:0004180
O14258	GO:0000978
